nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 1072 / 2340
Instances this launch   : 1268
Same-seed retries       : 3
==============================================================================
[PASS] INST_2098 | 100 nodes | 40 km/h | 7 flows | 4 pps | seed 3 | 1198/2340
[PASS] INST_2099 | 100 nodes | 40 km/h | 7 flows | 4 pps | seed 4 | 1199/2340
[PASS] INST_2100 | 100 nodes | 40 km/h | 7 flows | 4 pps | seed 5 | 1200/2340
[PASS] INST_2101 | 100 nodes | 40 km/h | 7 flows | 5 pps | seed 1 | 1201/2340
[PASS] INST_2102 | 100 nodes | 40 km/h | 7 flows | 5 pps | seed 2 | 1202/2340
[PASS] INST_2103 | 100 nodes | 40 km/h | 7 flows | 5 pps | seed 3 | 1203/2340
[PASS] INST_2104 | 100 nodes | 40 km/h | 7 flows | 5 pps | seed 4 | 1204/2340
[PASS] INST_2105 | 100 nodes | 40 km/h | 7 flows | 5 pps | seed 5 | 1205/2340
[PASS] INST_2106 | 100 nodes | 40 km/h | 7 flows | 6 pps | seed 1 | 1206/2340
[PASS] INST_2107 | 100 nodes | 40 km/h | 7 flows | 6 pps | seed 2 | 1207/2340
[PASS] INST_2108 | 100 nodes | 40 km/h | 7 flows | 6 pps | seed 3 | 1208/2340
[PASS] INST_2109 | 100 nodes | 40 km/h | 7 flows | 6 pps | seed 4 | 1209/2340
[PASS] INST_2110 | 100 nodes | 40 km/h | 7 flows | 6 pps | seed 5 | 1210/2340
[PASS] INST_2111 | 100 nodes | 40 km/h | 7 flows | 8 pps | seed 1 | 1211/2340
[PASS] INST_2112 | 100 nodes | 40 km/h | 7 flows | 8 pps | seed 2 | 1212/2340
[PASS] INST_2113 | 100 nodes | 40 km/h | 7 flows | 8 pps | seed 3 | 1213/2340
[PASS] INST_2114 | 100 nodes | 40 km/h | 7 flows | 8 pps | seed 4 | 1214/2340
[PASS] INST_2116 | 100 nodes | 40 km/h | 10 flows | 3 pps | seed 1 | 1215/2340
[PASS] INST_2115 | 100 nodes | 40 km/h | 7 flows | 8 pps | seed 5 | 1216/2340
[PASS] INST_2117 | 100 nodes | 40 km/h | 10 flows | 3 pps | seed 2 | 1217/2340
[PASS] INST_2118 | 100 nodes | 40 km/h | 10 flows | 3 pps | seed 3 | 1218/2340
[PASS] INST_2119 | 100 nodes | 40 km/h | 10 flows | 3 pps | seed 4 | 1219/2340
[PASS] INST_2120 | 100 nodes | 40 km/h | 10 flows | 3 pps | seed 5 | 1220/2340
[PASS] INST_2122 | 100 nodes | 40 km/h | 10 flows | 5 pps | seed 2 | 1221/2340
[PASS] INST_2121 | 100 nodes | 40 km/h | 10 flows | 5 pps | seed 1 | 1222/2340
[PASS] INST_2124 | 100 nodes | 40 km/h | 10 flows | 5 pps | seed 4 | 1223/2340
[PASS] INST_2123 | 100 nodes | 40 km/h | 10 flows | 5 pps | seed 3 | 1224/2340
[PASS] INST_2125 | 100 nodes | 40 km/h | 10 flows | 5 pps | seed 5 | 1225/2340
[PASS] INST_2126 | 100 nodes | 40 km/h | 10 flows | 6 pps | seed 1 | 1226/2340
[PASS] INST_2127 | 100 nodes | 40 km/h | 10 flows | 6 pps | seed 2 | 1227/2340
[PASS] INST_2128 | 100 nodes | 40 km/h | 10 flows | 6 pps | seed 3 | 1228/2340
[PASS] INST_2129 | 100 nodes | 40 km/h | 10 flows | 6 pps | seed 4 | 1229/2340
[PASS] INST_2130 | 100 nodes | 40 km/h | 10 flows | 6 pps | seed 5 | 1230/2340
[PASS] INST_2131 | 100 nodes | 40 km/h | 12 flows | 2 pps | seed 1 | 1231/2340
[PASS] INST_2132 | 100 nodes | 40 km/h | 12 flows | 2 pps | seed 2 | 1232/2340
[PASS] INST_2133 | 100 nodes | 40 km/h | 12 flows | 2 pps | seed 3 | 1233/2340
[PASS] INST_2134 | 100 nodes | 40 km/h | 12 flows | 2 pps | seed 4 | 1234/2340
[PASS] INST_2135 | 100 nodes | 40 km/h | 12 flows | 2 pps | seed 5 | 1235/2340
[PASS] INST_2136 | 100 nodes | 40 km/h | 12 flows | 3 pps | seed 1 | 1236/2340
[PASS] INST_2137 | 100 nodes | 40 km/h | 12 flows | 3 pps | seed 2 | 1237/2340
[PASS] INST_2138 | 100 nodes | 40 km/h | 12 flows | 3 pps | seed 3 | 1238/2340
[PASS] INST_2139 | 100 nodes | 40 km/h | 12 flows | 3 pps | seed 4 | 1239/2340
[PASS] INST_2140 | 100 nodes | 40 km/h | 12 flows | 3 pps | seed 5 | 1240/2340
[PASS] INST_2141 | 100 nodes | 40 km/h | 12 flows | 4 pps | seed 1 | 1241/2340
[PASS] INST_2142 | 100 nodes | 40 km/h | 12 flows | 4 pps | seed 2 | 1242/2340
[PASS] INST_2143 | 100 nodes | 40 km/h | 12 flows | 4 pps | seed 3 | 1243/2340
[PASS] INST_2144 | 100 nodes | 40 km/h | 12 flows | 4 pps | seed 4 | 1244/2340
[PASS] INST_2145 | 100 nodes | 40 km/h | 12 flows | 4 pps | seed 5 | 1245/2340
[PASS] INST_2146 | 100 nodes | 40 km/h | 12 flows | 5 pps | seed 1 | 1246/2340
[PASS] INST_2147 | 100 nodes | 40 km/h | 12 flows | 5 pps | seed 2 | 1247/2340
[PASS] INST_2148 | 100 nodes | 40 km/h | 12 flows | 5 pps | seed 3 | 1248/2340
[PASS] INST_2149 | 100 nodes | 40 km/h | 12 flows | 5 pps | seed 4 | 1249/2340
[PASS] INST_2150 | 100 nodes | 40 km/h | 12 flows | 5 pps | seed 5 | 1250/2340
[PASS] INST_2151 | 100 nodes | 40 km/h | 12 flows | 6 pps | seed 1 | 1251/2340
[PASS] INST_2152 | 100 nodes | 40 km/h | 12 flows | 6 pps | seed 2 | 1252/2340
[PASS] INST_2153 | 100 nodes | 40 km/h | 12 flows | 6 pps | seed 3 | 1253/2340
[PASS] INST_2154 | 100 nodes | 40 km/h | 12 flows | 6 pps | seed 4 | 1254/2340
[PASS] INST_2155 | 100 nodes | 40 km/h | 12 flows | 6 pps | seed 5 | 1255/2340
[PASS] INST_2156 | 100 nodes | 40 km/h | 12 flows | 8 pps | seed 1 | 1256/2340
[PASS] INST_2157 | 100 nodes | 40 km/h | 12 flows | 8 pps | seed 2 | 1257/2340
[PASS] INST_2158 | 100 nodes | 40 km/h | 12 flows | 8 pps | seed 3 | 1258/2340
[PASS] INST_2159 | 100 nodes | 40 km/h | 12 flows | 8 pps | seed 4 | 1259/2340
[PASS] INST_2160 | 100 nodes | 40 km/h | 12 flows | 8 pps | seed 5 | 1260/2340
[PASS] INST_2161 | 100 nodes | 40 km/h | 15 flows | 3 pps | seed 1 | 1261/2340
[PASS] INST_2162 | 100 nodes | 40 km/h | 15 flows | 3 pps | seed 2 | 1262/2340
[PASS] INST_2163 | 100 nodes | 40 km/h | 15 flows | 3 pps | seed 3 | 1263/2340
[PASS] INST_2165 | 100 nodes | 40 km/h | 15 flows | 3 pps | seed 5 | 1264/2340
[PASS] INST_2164 | 100 nodes | 40 km/h | 15 flows | 3 pps | seed 4 | 1265/2340
[PASS] INST_2167 | 100 nodes | 40 km/h | 15 flows | 5 pps | seed 2 | 1266/2340
[PASS] INST_2166 | 100 nodes | 40 km/h | 15 flows | 5 pps | seed 1 | 1267/2340
[PASS] INST_2168 | 100 nodes | 40 km/h | 15 flows | 5 pps | seed 3 | 1268/2340
[PASS] INST_2169 | 100 nodes | 40 km/h | 15 flows | 5 pps | seed 4 | 1269/2340
[PASS] INST_2170 | 100 nodes | 40 km/h | 15 flows | 5 pps | seed 5 | 1270/2340
[PASS] INST_2171 | 100 nodes | 40 km/h | 15 flows | 6 pps | seed 1 | 1271/2340
[PASS] INST_2172 | 100 nodes | 40 km/h | 15 flows | 6 pps | seed 2 | 1272/2340
[PASS] INST_2173 | 100 nodes | 40 km/h | 15 flows | 6 pps | seed 3 | 1273/2340
[PASS] INST_2174 | 100 nodes | 40 km/h | 15 flows | 6 pps | seed 4 | 1274/2340
[PASS] INST_2175 | 100 nodes | 40 km/h | 15 flows | 6 pps | seed 5 | 1275/2340
[PASS] INST_2176 | 100 nodes | 40 km/h | 18 flows | 2 pps | seed 1 | 1276/2340
[PASS] INST_2177 | 100 nodes | 40 km/h | 18 flows | 2 pps | seed 2 | 1277/2340
[PASS] INST_2178 | 100 nodes | 40 km/h | 18 flows | 2 pps | seed 3 | 1278/2340
