nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 2150 / 2340
Instances this launch   : 190
Same-seed retries       : 3
==============================================================================
[DEFERRED] INST_3051 | AODV: NS-2 failed: 
[PASS] INST_3134 | 150 nodes | 50 km/h | 12 flows | 8 pps | seed 4 | 2233/2340
[PASS] INST_3135 | 150 nodes | 50 km/h | 12 flows | 8 pps | seed 5 | 2234/2340
[PASS] INST_3136 | 150 nodes | 50 km/h | 15 flows | 3 pps | seed 1 | 2235/2340
[PASS] INST_3137 | 150 nodes | 50 km/h | 15 flows | 3 pps | seed 2 | 2236/2340
[PASS] INST_3138 | 150 nodes | 50 km/h | 15 flows | 3 pps | seed 3 | 2237/2340
[PASS] INST_3139 | 150 nodes | 50 km/h | 15 flows | 3 pps | seed 4 | 2238/2340
[PASS] INST_3140 | 150 nodes | 50 km/h | 15 flows | 3 pps | seed 5 | 2239/2340
[PASS] INST_3141 | 150 nodes | 50 km/h | 15 flows | 5 pps | seed 1 | 2240/2340
[PASS] INST_3142 | 150 nodes | 50 km/h | 15 flows | 5 pps | seed 2 | 2241/2340
[PASS] INST_3143 | 150 nodes | 50 km/h | 15 flows | 5 pps | seed 3 | 2242/2340
[PASS] INST_3144 | 150 nodes | 50 km/h | 15 flows | 5 pps | seed 4 | 2243/2340
[PASS] INST_3145 | 150 nodes | 50 km/h | 15 flows | 5 pps | seed 5 | 2244/2340
[PASS] INST_3146 | 150 nodes | 50 km/h | 15 flows | 6 pps | seed 1 | 2245/2340
[PASS] INST_3147 | 150 nodes | 50 km/h | 15 flows | 6 pps | seed 2 | 2246/2340
[PASS] INST_3148 | 150 nodes | 50 km/h | 15 flows | 6 pps | seed 3 | 2247/2340
[PASS] INST_3149 | 150 nodes | 50 km/h | 15 flows | 6 pps | seed 4 | 2248/2340
[PASS] INST_3150 | 150 nodes | 50 km/h | 15 flows | 6 pps | seed 5 | 2249/2340
[PASS] INST_3151 | 150 nodes | 50 km/h | 18 flows | 2 pps | seed 1 | 2250/2340
[PASS] INST_3152 | 150 nodes | 50 km/h | 18 flows | 2 pps | seed 2 | 2251/2340
[PASS] INST_3153 | 150 nodes | 50 km/h | 18 flows | 2 pps | seed 3 | 2252/2340
[PASS] INST_3154 | 150 nodes | 50 km/h | 18 flows | 2 pps | seed 4 | 2253/2340
[PASS] INST_3155 | 150 nodes | 50 km/h | 18 flows | 2 pps | seed 5 | 2254/2340
[PASS] INST_3156 | 150 nodes | 50 km/h | 18 flows | 3 pps | seed 1 | 2255/2340
[PASS] INST_3157 | 150 nodes | 50 km/h | 18 flows | 3 pps | seed 2 | 2256/2340
[PASS] INST_3158 | 150 nodes | 50 km/h | 18 flows | 3 pps | seed 3 | 2257/2340
[PASS] INST_3159 | 150 nodes | 50 km/h | 18 flows | 3 pps | seed 4 | 2258/2340
[PASS] INST_3160 | 150 nodes | 50 km/h | 18 flows | 3 pps | seed 5 | 2259/2340
[PASS] INST_3161 | 150 nodes | 50 km/h | 18 flows | 4 pps | seed 1 | 2260/2340
[PASS] INST_3162 | 150 nodes | 50 km/h | 18 flows | 4 pps | seed 2 | 2261/2340
[PASS] INST_3163 | 150 nodes | 50 km/h | 18 flows | 4 pps | seed 3 | 2262/2340
[PASS] INST_3164 | 150 nodes | 50 km/h | 18 flows | 4 pps | seed 4 | 2263/2340
[PASS] INST_3165 | 150 nodes | 50 km/h | 18 flows | 4 pps | seed 5 | 2264/2340
[PASS] INST_3166 | 150 nodes | 50 km/h | 18 flows | 5 pps | seed 1 | 2265/2340
[PASS] INST_3167 | 150 nodes | 50 km/h | 18 flows | 5 pps | seed 2 | 2266/2340
[PASS] INST_3168 | 150 nodes | 50 km/h | 18 flows | 5 pps | seed 3 | 2267/2340
[PASS] INST_3169 | 150 nodes | 50 km/h | 18 flows | 5 pps | seed 4 | 2268/2340
[PASS] INST_3170 | 150 nodes | 50 km/h | 18 flows | 5 pps | seed 5 | 2269/2340
[PASS] INST_3171 | 150 nodes | 50 km/h | 18 flows | 6 pps | seed 1 | 2270/2340
[PASS] INST_3172 | 150 nodes | 50 km/h | 18 flows | 6 pps | seed 2 | 2271/2340
[PASS] INST_3173 | 150 nodes | 50 km/h | 18 flows | 6 pps | seed 3 | 2272/2340
[PASS] INST_3174 | 150 nodes | 50 km/h | 18 flows | 6 pps | seed 4 | 2273/2340
[PASS] INST_3175 | 150 nodes | 50 km/h | 18 flows | 6 pps | seed 5 | 2274/2340
[PASS] INST_3176 | 150 nodes | 50 km/h | 18 flows | 8 pps | seed 1 | 2275/2340
[PASS] INST_3178 | 150 nodes | 50 km/h | 18 flows | 8 pps | seed 3 | 2276/2340
[PASS] INST_3177 | 150 nodes | 50 km/h | 18 flows | 8 pps | seed 2 | 2277/2340
[PASS] INST_3179 | 150 nodes | 50 km/h | 18 flows | 8 pps | seed 4 | 2278/2340
[PASS] INST_3180 | 150 nodes | 50 km/h | 18 flows | 8 pps | seed 5 | 2279/2340
[PASS] INST_3181 | 150 nodes | 50 km/h | 20 flows | 3 pps | seed 1 | 2280/2340
[PASS] INST_3182 | 150 nodes | 50 km/h | 20 flows | 3 pps | seed 2 | 2281/2340
[PASS] INST_3183 | 150 nodes | 50 km/h | 20 flows | 3 pps | seed 3 | 2282/2340
[PASS] INST_3184 | 150 nodes | 50 km/h | 20 flows | 3 pps | seed 4 | 2283/2340
[PASS] INST_3185 | 150 nodes | 50 km/h | 20 flows | 3 pps | seed 5 | 2284/2340
[PASS] INST_3186 | 150 nodes | 50 km/h | 20 flows | 5 pps | seed 1 | 2285/2340
[PASS] INST_3187 | 150 nodes | 50 km/h | 20 flows | 5 pps | seed 2 | 2286/2340
[PASS] INST_3188 | 150 nodes | 50 km/h | 20 flows | 5 pps | seed 3 | 2287/2340
[PASS] INST_3189 | 150 nodes | 50 km/h | 20 flows | 5 pps | seed 4 | 2288/2340
[PASS] INST_3190 | 150 nodes | 50 km/h | 20 flows | 5 pps | seed 5 | 2289/2340
[PASS] INST_3191 | 150 nodes | 50 km/h | 20 flows | 6 pps | seed 1 | 2290/2340
[PASS] INST_3192 | 150 nodes | 50 km/h | 20 flows | 6 pps | seed 2 | 2291/2340
[PASS] INST_3193 | 150 nodes | 50 km/h | 20 flows | 6 pps | seed 3 | 2292/2340
[PASS] INST_3194 | 150 nodes | 50 km/h | 20 flows | 6 pps | seed 4 | 2293/2340
[PASS] INST_3196 | 150 nodes | 50 km/h | 22 flows | 2 pps | seed 1 | 2294/2340
[PASS] INST_3195 | 150 nodes | 50 km/h | 20 flows | 6 pps | seed 5 | 2295/2340
[PASS] INST_3197 | 150 nodes | 50 km/h | 22 flows | 2 pps | seed 2 | 2296/2340
[PASS] INST_3198 | 150 nodes | 50 km/h | 22 flows | 2 pps | seed 3 | 2297/2340
[PASS] INST_3199 | 150 nodes | 50 km/h | 22 flows | 2 pps | seed 4 | 2298/2340
[PASS] INST_3200 | 150 nodes | 50 km/h | 22 flows | 2 pps | seed 5 | 2299/2340
[PASS] INST_3201 | 150 nodes | 50 km/h | 22 flows | 3 pps | seed 1 | 2300/2340
[PASS] INST_3202 | 150 nodes | 50 km/h | 22 flows | 3 pps | seed 2 | 2301/2340
[PASS] INST_3203 | 150 nodes | 50 km/h | 22 flows | 3 pps | seed 3 | 2302/2340
[PASS] INST_3204 | 150 nodes | 50 km/h | 22 flows | 3 pps | seed 4 | 2303/2340
[PASS] INST_3205 | 150 nodes | 50 km/h | 22 flows | 3 pps | seed 5 | 2304/2340
[PASS] INST_3206 | 150 nodes | 50 km/h | 22 flows | 4 pps | seed 1 | 2305/2340
[PASS] INST_3207 | 150 nodes | 50 km/h | 22 flows | 4 pps | seed 2 | 2306/2340
[PASS] INST_3208 | 150 nodes | 50 km/h | 22 flows | 4 pps | seed 3 | 2307/2340
[PASS] INST_3209 | 150 nodes | 50 km/h | 22 flows | 4 pps | seed 4 | 2308/2340
[PASS] INST_3210 | 150 nodes | 50 km/h | 22 flows | 4 pps | seed 5 | 2309/2340
