Nodes,Speed_kmh,Flows,Packet_Rate_pps,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
100,30,10,4,AOMDV,0.6067135839241343,AODV,0.5748080433284887,0.031905540595645654
100,30,10,8,DSDV,0.704090417131556,AOMDV,0.6509564770413324,0.05313394009022354
100,30,15,2,AOMDV,0.6043033875734147,AODV,0.5838389497194498,0.0204644378539649
100,30,15,4,AOMDV,0.7194025354621829,DSDV,0.3985779425194909,0.320824592942692
100,30,15,8,AOMDV,0.5831056366985025,DSDV,0.5,0.08310563669850246
100,30,20,2,AOMDV,0.6004395533384725,AODV,0.5222117847210999,0.07822776861737268
100,30,20,4,AOMDV,0.8560915497117778,DSDV,0.616754021246471,0.23933752846530676
100,30,20,8,DSDV,1.0,AODV,0.2767414029463136,0.7232585970536864
100,30,25,2,AOMDV,0.624930946717116,AODV,0.43564017124139115,0.18929077547572487
100,30,25,4,DSDV,1.0,AOMDV,0.47497267856274855,0.5250273214372514
100,30,25,8,DSDV,1.0,AODV,0.3626316739838569,0.6373683260161431
100,40,5,2,AODV,0.7031208468146584,AOMDV,0.6161112732101893,0.08700957360446904
100,40,5,4,AODV,0.6401799587959014,AOMDV,0.5970089208837287,0.043171037912172694
100,40,5,8,AODV,0.6662738416085283,AOMDV,0.6145286835406814,0.051745158067846964
100,40,10,2,AODV,0.6811978810422912,AOMDV,0.5974551758425739,0.08374270519971727
100,40,10,4,AOMDV,0.6009710973816538,AODV,0.5328475010963022,0.06812359628535158
100,40,10,8,AOMDV,0.8305474000005643,AODV,0.36183052918218817,0.4687168708183761
100,40,15,2,AOMDV,0.6049620342607793,AODV,0.5769139300442443,0.02804810421653503
100,40,15,4,AOMDV,0.7276784940459164,AODV,0.36217483425945396,0.3655036597864625
100,40,15,8,AOMDV,0.5863399579477436,DSDV,0.5,0.08633995794774363
100,40,20,2,AOMDV,0.5993641400484286,AODV,0.5361400234559063,0.06322411659252236
100,40,20,4,AOMDV,0.889972996854219,DSDV,0.4420510536910096,0.44792194316320944
100,40,20,8,DSDV,1.0,AOMDV,0.1861692663964707,0.8138307336035293
100,40,25,2,AOMDV,0.679782136671553,AODV,0.3912695597842333,0.2885125768873197
100,40,25,4,DSDV,0.9517414753284756,AOMDV,0.6667458322312417,0.2849956430972339
100,40,25,8,DSDV,1.0,AODV,0.19231985385803724,0.8076801461419627
100,50,5,2,AODV,0.7433107205886795,AOMDV,0.5961587865839248,0.14715193400475468
100,50,5,4,AODV,0.6846523050348741,AOMDV,0.5873399427227167,0.09731236231215734
100,50,5,8,AODV,0.625138245106344,AOMDV,0.5972248552019512,0.027913389904392738
100,50,10,2,AODV,0.6160819613431341,AOMDV,0.5795521253405203,0.036529836002613836
100,50,10,4,AODV,0.5986863413120203,AOMDV,0.5877932423937013,0.01089309891831891
100,50,10,8,AOMDV,0.8144443166226811,AODV,0.40386675105939807,0.41057756556328306
100,50,15,2,AOMDV,0.5781981293328011,AODV,0.5157563449376237,0.062441784395177446
100,50,15,4,AOMDV,0.7940144489460133,AODV,0.34067564133482375,0.4533388076111895
100,50,15,8,AOMDV,0.6207752262111127,DSDV,0.5316624704278019,0.08911275578331079
100,50,20,2,AOMDV,0.6316652390432591,AODV,0.42145085980234154,0.21021437924091757
100,50,20,4,AOMDV,0.8971077178599683,DSDV,0.5246406044969987,0.37246711336296967
100,50,20,8,DSDV,1.0,AOMDV,0.17205597964537617,0.8279440203546238
100,50,25,2,AOMDV,0.7700923100273733,DSDV,0.32053988333965877,0.44955242668771456
100,50,25,4,DSDV,0.9833374747172223,AOMDV,0.6390304042517719,0.3443070704654504
100,50,25,8,DSDV,1.0,AODV,0.37689435437726293,0.6231056456227371
150,20,5,2,AOMDV,0.6510570340614422,AODV,0.6031613901810553,0.04789564388038692
150,20,5,4,AOMDV,0.6641791034924451,AODV,0.5,0.16417910349244513
150,20,5,8,AOMDV,0.7171174640037841,AODV,0.5532341620753505,0.1638833019284336
150,20,10,2,AOMDV,0.6465132787180574,AODV,0.5564109894046394,0.09010228931341802
150,20,10,4,AOMDV,0.6798983979153579,DSDV,0.4510324899889916,0.2288659079263663
150,20,10,8,AOMDV,0.6397655384234389,DSDV,0.5,0.13976553842343886
150,20,15,2,AOMDV,0.6400641896886321,AODV,0.47783212226116906,0.16223206742746304
150,20,15,4,AOMDV,0.8545880912230107,DSDV,0.47133136459519265,0.38325672662781807
150,20,15,8,AODV,0.7030611898893522,DSDV,0.5863830117069793,0.11667817818237292
150,20,20,2,AOMDV,0.6660270896771754,AODV,0.4054087489984541,0.2606183406787213
150,20,20,4,DSDV,0.75,AOMDV,0.641732001227862,0.108267998772138
150,20,20,8,DSDV,0.75,AODV,0.5053904332512925,0.24460956674870749
150,20,25,2,AOMDV,0.803993728988174,DSDV,0.5862169361453563,0.2177767928428177
150,20,25,4,DSDV,0.8832992937528235,AOMDV,0.3671703029788015,0.516128990774022
150,20,25,8,DSDV,0.9285420861924218,AODV,0.3597884970150548,0.5687535891773671
150,30,5,2,AOMDV,0.6570871507914126,AODV,0.6333277002791269,0.023759450512285674
150,30,5,4,AOMDV,0.659496189349205,AODV,0.610258794842887,0.04923739450631792
150,30,5,8,AOMDV,0.6958179385568158,AODV,0.6407582331247752,0.05505970543204064
150,30,10,2,AOMDV,0.650122015339878,AODV,0.5283715831587178,0.12175043218116022
150,30,10,4,AOMDV,0.6851484172516479,AODV,0.46949018301214906,0.21565823423949881
150,30,10,8,AOMDV,0.6593673876014481,DSDV,0.5,0.15936738760144809
150,30,15,2,AOMDV,0.6593832005191993,AODV,0.5511899902202463,0.10819321029895301
150,30,15,4,AOMDV,0.8544599400862499,DSDV,0.462707621833437,0.3917523182528129
150,30,15,8,AODV,0.7475876982722397,DSDV,0.5,0.2475876982722397
150,30,20,2,AOMDV,0.7336495550980422,AODV,0.4168399816927969,0.3168095734052453
150,30,20,4,DSDV,0.75,AOMDV,0.5416770227196612,0.20832297728033877
150,30,20,8,DSDV,0.75,AODV,0.6291088486789427,0.12089115132105732
150,30,25,2,AOMDV,0.7555874132615157,DSDV,0.42805985151793413,0.32752756174358155
150,30,25,4,DSDV,0.75,AOMDV,0.4238681125929726,0.3261318874070274
150,30,25,8,DSDV,0.8956596136221922,AODV,0.5325198920437143,0.36313972157847785
150,40,5,2,AODV,0.7153461532777643,AOMDV,0.6552379380376406,0.060108215240123664
150,40,5,4,AOMDV,0.6617345345503822,AODV,0.604472065088033,0.05726246946234925
150,40,5,8,AOMDV,0.7144082038816848,AODV,0.6958340216925747,0.01857418218911011
150,40,10,2,AOMDV,0.641699921199649,AODV,0.6065340724783003,0.03516584872134876
