Instance_ID,Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Simulation_Seed,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
INST_0416,100,30,15,8,1,100416,DSDV,0.7398755022127386,AODV,0.3888523893647641,0.3510231128479745
INST_0417,100,30,15,8,2,100417,AOMDV,0.6123199841926458,DSDV,0.6054595277387801,0.006860456453865682
INST_0418,100,30,15,8,3,100418,DSDV,0.9768806199692235,AOMDV,0.5532200470593515,0.423660572909872
INST_0419,100,30,15,8,4,100419,AODV,0.7312178516417812,AOMDV,0.5086221148323115,0.22259573680946976
INST_0420,100,30,15,8,5,100420,AODV,0.5684272970416832,DSDV,0.5,0.06842729704168315
INST_0421,100,30,20,2,1,100421,AOMDV,0.5913966792742325,AODV,0.41810801782725193,0.17328866144698052
INST_0422,100,30,20,2,2,100422,AOMDV,0.6130653280587497,AODV,0.5121000322383927,0.10096529582035696
INST_0423,100,30,20,2,3,100423,AOMDV,0.5947978243219194,AODV,0.5275139237820227,0.06728390053989675
INST_0424,100,30,20,2,4,100424,AODV,0.6580965572550942,AOMDV,0.6059855201768746,0.052111037078219624
INST_0425,100,30,20,2,5,100425,AODV,0.5985498890202693,AOMDV,0.59515707100847,0.003392818011799248
INST_0426,100,30,20,4,1,100426,AOMDV,0.7265697733846461,DSDV,0.5948251699053428,0.13174460347930328
INST_0427,100,30,20,4,2,100427,AOMDV,0.7355696124686671,DSDV,0.5,0.23556961246866714
INST_0428,100,30,20,4,3,100428,AOMDV,0.8982652827422871,DSDV,0.5133991045851903,0.3848661781570968
INST_0429,100,30,20,4,4,100429,AOMDV,0.8623515783220213,DSDV,0.7110540251168581,0.15129755320516314
INST_0430,100,30,20,4,5,100430,AOMDV,0.8666269274902896,DSDV,0.5102911143485191,0.35633581314177043
INST_0431,100,30,20,8,1,100431,DSDV,1.0,AODV,0.21516938384379036,0.7848306161562096
INST_0432,100,30,20,8,2,100432,DSDV,0.9032415042833828,AODV,0.4209163244871865,0.48232517979619627
INST_0433,100,30,20,8,3,100433,DSDV,0.75,AODV,0.45838013168864494,0.29161986831135506
INST_0434,100,30,20,8,4,100434,DSDV,0.75,AOMDV,0.37185936933936425,0.37814063066063575
INST_0435,100,30,20,8,5,100435,DSDV,1.0,AOMDV,0.1389379701304027,0.8610620298695972
INST_0436,100,30,25,2,1,100436,AOMDV,0.6385682402385808,AODV,0.4140249954968525,0.22454324474172832
INST_0437,100,30,25,2,2,100437,AOMDV,0.588201733496081,AODV,0.3892993384538037,0.19890239504227725
INST_0438,100,30,25,2,3,100438,AODV,0.6385825422970997,AOMDV,0.6178718312345025,0.020710711062597142
INST_0439,100,30,25,2,4,100439,AOMDV,0.7174010211778749,AODV,0.4587037529841521,0.25869726819372274
INST_0440,100,30,25,2,5,100440,AODV,0.5343784501665981,AOMDV,0.48487593310312965,0.049502517063468476
INST_0441,100,30,25,4,1,100441,DSDV,0.963929740636438,AOMDV,0.5347033792450355,0.42922636139140247
INST_0442,100,30,25,4,2,100442,DSDV,0.775496665769051,AOMDV,0.38405252551101127,0.3914441402580397
INST_0443,100,30,25,4,3,100443,DSDV,0.9652026979569932,AOMDV,0.6239329422014495,0.34126975575554375
INST_0444,100,30,25,4,4,100444,DSDV,0.9474865763467403,AOMDV,0.3819900943648371,0.5654964819819032
INST_0445,100,30,25,4,5,100445,DSDV,1.0,AOMDV,0.3898968001455972,0.6101031998544029
INST_0446,100,30,25,8,1,100446,DSDV,1.0,AODV,0.4309413127148015,0.5690586872851985
INST_0447,100,30,25,8,2,100447,DSDV,0.9076148843610313,AODV,0.6196792321714589,0.2879356521895724
INST_0448,100,30,25,8,3,100448,DSDV,1.0,AOMDV,0.2652335266260485,0.7347664733739515
INST_0449,100,30,25,8,4,100449,DSDV,0.75,AOMDV,0.4725389131882284,0.2774610868117716
INST_0450,100,30,25,8,5,100450,DSDV,0.7804871986064952,AODV,0.4888121578735011,0.2916750407329941
INST_0451,100,40,5,2,1,100451,AODV,0.7138005867516799,AOMDV,0.6469613229916669,0.06683926376001303
INST_0452,100,40,5,2,2,100452,AODV,0.7974144682010499,AOMDV,0.6441947497843288,0.1532197184167211
INST_0453,100,40,5,2,3,100453,DSDV,0.7441289316638834,AODV,0.5,0.2441289316638834
INST_0454,100,40,5,2,4,100454,AODV,0.6367045381405704,AOMDV,0.6113721745602845,0.0253323635802859
INST_0455,100,40,5,2,5,100455,AODV,0.6955475264503137,AOMDV,0.6125637750160252,0.08298375143428849
INST_0456,100,40,5,4,1,100456,AODV,0.7146240080195806,AOMDV,0.6205636717767313,0.09406033624284926
INST_0457,100,40,5,4,2,100457,DSDV,0.746147202349696,AOMDV,0.58199978514654,0.16414741720315595
INST_0458,100,40,5,4,3,100458,DSDV,0.7247396990130132,AODV,0.5,0.22473969901301316
INST_0459,100,40,5,4,4,100459,DSDV,0.7009921352989534,AOMDV,0.6069148897363058,0.09407724556264763
INST_0460,100,40,5,4,5,100460,AOMDV,0.6359922149228603,DSDV,0.48629401469197064,0.14969820023088964
INST_0461,100,40,5,8,1,100461,AODV,0.6913757139317994,AOMDV,0.6222327647268859,0.06914294920491348
INST_0462,100,40,5,8,2,100462,DSDV,0.6910413382435665,AOMDV,0.5843621358024691,0.10667920244109741
INST_0463,100,40,5,8,3,100463,AODV,0.9207772891940851,AOMDV,0.6283837546157424,0.2923935345783427
INST_0464,100,40,5,8,4,100464,DSDV,0.7132601298549497,AOMDV,0.621510380408166,0.09174974944678371
