Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Offered_Load_kbps,Flows_per_Node,Rate_x_Flows,Nodes_x_Speed,Speed_per_Flow,Best_Protocol_Composite,Best_Protocol_PDR,AODV_Composite_Score,DSDV_Composite_Score,AOMDV_Composite_Score,AODV_PDR_Percent,DSDV_PDR_Percent,AOMDV_PDR_Percent
50,20,15,8,5,491.52,0.3,120,1000,1.3333333333333333,DSDV,AOMDV,0.0,0.9558983619363856,0.6261132453964326,48.033951,52.635802,53.135802
50,20,20,2,1,163.84,0.4,40,1000,1.0,AOMDV,AODV,0.4873562373706292,0.55,0.6456397595849162,83.833333,61.796296,73.12037
50,20,20,2,2,163.84,0.4,40,1000,1.0,AOMDV,AODV,0.6104363029244938,0.20657485404410508,0.6831190392540044,98.0,75.675926,87.240741
50,20,20,2,3,163.84,0.4,40,1000,1.0,AOMDV,AODV,0.4887065258333856,0.29123052914832004,0.7100828223269823,96.796296,71.083333,85.944444
50,20,20,2,4,163.84,0.4,40,1000,1.0,AOMDV,AODV,0.5031614839715249,0.4777055680638568,0.6634673436568391,98.148148,79.722222,88.462963
50,20,20,2,5,163.84,0.4,40,1000,1.0,AOMDV,AODV,0.45975667536013204,0.4182725045629536,0.7355564356573147,91.703704,68.240741,83.12963
50,20,20,4,1,327.68,0.4,80,1000,1.0,AOMDV,AOMDV,0.43392857517514744,0.55,0.711583576390048,65.25,58.5,65.5
50,20,20,4,2,327.68,0.4,80,1000,1.0,DSDV,AODV,0.4744642368021288,0.55,0.45524712772623543,82.722222,74.060185,80.513889
50,20,20,4,3,327.68,0.4,80,1000,1.0,DSDV,AODV,0.44999999999999996,0.55,0.47418328238143287,75.763889,64.907407,73.018519
50,20,20,4,4,327.68,0.4,80,1000,1.0,DSDV,AODV,0.44999999999999996,0.55,0.3882305534035479,91.805556,76.925926,83.699074
50,20,20,4,5,327.68,0.4,80,1000,1.0,AODV,AODV,0.551625638339792,0.55,0.38045685076999475,73.203704,62.263889,69.092593
50,20,20,8,1,655.36,0.4,160,1000,1.0,DSDV,AOMDV,0.0,0.988281294253574,0.5802989091931824,41.606481,42.472222,42.49537
50,20,20,8,2,655.36,0.4,160,1000,1.0,DSDV,DSDV,0.3339136946940718,1.0,0.01707666525537645,50.699074,54.62037,48.569444
50,20,20,8,3,655.36,0.4,160,1000,1.0,AODV,AODV,0.7898214918223277,0.6919017854889222,0.01392464775885565,43.356481,40.24537,37.979167
50,20,20,8,4,655.36,0.4,160,1000,1.0,DSDV,DSDV,0.10814920184661038,1.0,0.016246279243982153,59.534722,64.844907,59.282407
50,20,20,8,5,655.36,0.4,160,1000,1.0,DSDV,DSDV,0.09071192960954336,1.0,0.22373572093687116,40.861111,43.835648,41.569444
50,20,25,2,1,204.8,0.5,50,1000,0.8,AOMDV,AODV,0.4509390527006166,0.55,0.6779138554035145,79.874074,59.933333,74.22963
50,20,25,2,2,204.8,0.5,50,1000,0.8,AOMDV,AODV,0.5736987353937293,0.32825854794681164,0.7097818010073876,94.592593,74.562963,86.125926
50,20,25,2,3,204.8,0.5,50,1000,0.8,AOMDV,AODV,0.5307618424521102,0.2781627495811563,0.7253161894363607,94.948148,70.659259,85.311111
50,20,25,2,4,204.8,0.5,50,1000,0.8,AOMDV,AODV,0.6227295478458352,0.16490650194193848,0.7063079865741826,96.459259,76.496296,87.866667
50,20,25,2,5,204.8,0.5,50,1000,0.8,AOMDV,AODV,0.44999999999999996,0.55,0.6610658978135313,87.074074,66.881481,82.511111
50,20,25,4,1,409.6,0.5,100,1000,0.8,AOMDV,AOMDV,0.407412096583532,0.55,0.7120712407631897,59.655556,55.651852,60.074074
50,20,25,4,2,409.6,0.5,100,1000,0.8,DSDV,AOMDV,0.41649483499015927,0.55,0.533360614944999,68.548148,67.025926,68.892593
50,20,25,4,3,409.6,0.5,100,1000,0.8,AOMDV,AOMDV,0.28605186907216684,0.55,0.675050847675376,62.988889,61.444444,63.874074
50,20,25,4,4,409.6,0.5,100,1000,0.8,AOMDV,AOMDV,0.0,0.7627048964096083,0.7702289971111388,70.459259,72.381481,74.525926
50,20,25,4,5,409.6,0.5,100,1000,0.8,DSDV,AOMDV,0.19598188552342247,0.55,0.5336080537089885,58.962963,58.4,60.314815
50,20,25,8,1,819.2,0.5,200,1000,0.8,DSDV,DSDV,0.1412657911159168,1.0,0.07600770882785472,35.87963,37.809259,36.205556
50,20,25,8,2,819.2,0.5,200,1000,0.8,DSDV,DSDV,0.4429291005213274,1.0,0.016995266783055164,38.87037,42.951852,36.709259
50,20,25,8,3,819.2,0.5,200,1000,0.8,DSDV,DSDV,0.44002704550863914,1.0,0.016864522419323614,34.842593,36.772222,32.405556
50,20,25,8,4,819.2,0.5,200,1000,0.8,DSDV,DSDV,0.092967355395137,1.0,0.0337522685802116,42.622222,48.95,42.848148
50,20,25,8,5,819.2,0.5,200,1000,0.8,DSDV,DSDV,0.2452716007145135,1.0,0.022020630566569558,31.722222,36.551852,30.218519
50,30,5,2,1,40.96,0.1,10,1500,6.0,AOMDV,AODV,0.5438463047968527,0.55,0.6342216431258161,83.814815,53.740741,68.592593
50,30,5,2,2,40.96,0.1,10,1500,6.0,AOMDV,AODV,0.5372654013575784,0.55,0.5613700197821029,94.777778,51.777778,72.481481
50,30,5,2,3,40.96,0.1,10,1500,6.0,AODV,AODV,0.7167558941761737,0.1,0.6673823321925669,95.962963,51.111111,72.777778
50,30,5,2,4,40.96,0.1,10,1500,6.0,AOMDV,AODV,0.5499999999999999,0.5340621544558765,0.6222677204579654,99.666667,95.777778,97.592593
50,30,5,2,5,40.96,0.1,10,1500,6.0,AOMDV,AODV,0.5365548751520248,0.55,0.5728911688949607,90.925926,53.62963,69.592593
50,30,5,4,1,81.92,0.1,20,1500,6.0,AODV,AODV,0.6630249295385242,0.3039164188712432,0.6470588228388139,83.481481,52.314815,65.962963
50,30,5,4,2,81.92,0.1,20,1500,6.0,AODV,AODV,0.8960081502295063,0.1,0.6868421048979316,96.481481,48.62963,73.814815
50,30,5,4,3,81.92,0.1,20,1500,6.0,AODV,AODV,0.6871218152984079,0.22037873258541443,0.6497275790753098,97.833333,53.648148,73.259259
50,30,5,4,4,81.92,0.1,20,1500,6.0,AOMDV,AODV,0.5499999999999999,0.5360043676502652,0.6689266283366349,99.222222,95.685185,97.537037
50,30,5,4,5,81.92,0.1,20,1500,6.0,AOMDV,AODV,0.5327513790548111,0.55,0.6277944725250635,88.37037,57.111111,72.685185
50,30,5,8,1,163.84,0.1,40,1500,6.0,AOMDV,AODV,0.5226928560008184,0.55,0.5731723443757639,82.398148,53.018519,67.166667
50,30,5,8,2,163.84,0.1,40,1500,6.0,AOMDV,AODV,0.49073327804626954,0.55,0.5886867859112755,91.472222,56.62037,73.666667
50,30,5,8,3,163.84,0.1,40,1500,6.0,AOMDV,AODV,0.6415030250657119,0.2307441302930155,0.6667382448871495,95.527778,52.407407,73.175926
50,30,5,8,4,163.84,0.1,40,1500,6.0,AOMDV,AODV,0.5499999999999999,0.5346706050742458,0.7006628744048271,99.277778,95.75,97.925926
50,30,5,8,5,163.84,0.1,40,1500,6.0,AOMDV,AODV,0.5012716917668886,0.3593393828598619,0.6609661798095522,87.009259,53.87037,72.101852
50,30,10,2,1,81.92,0.2,20,1500,3.0,AODV,AODV,0.6175254900492457,0.55,0.42166197484025963,85.722222,58.796296,72.907407
50,30,10,2,2,81.92,0.2,20,1500,3.0,AODV,AODV,0.7612114837663452,0.1,0.6770678355022466,96.62963,54.314815,75.666667
50,30,10,2,3,81.92,0.2,20,1500,3.0,AODV,AODV,0.8491694295836936,0.1,0.6662011147817778,96.296296,53.203704,73.907407
50,30,10,2,4,81.92,0.2,20,1500,3.0,AOMDV,AODV,0.5357133614172758,0.3960827415780446,0.6397435961648655,95.796296,82.796296,88.277778
50,30,10,2,5,81.92,0.2,20,1500,3.0,AOMDV,AODV,0.5167586807217109,0.3747724099848585,0.6629186620305294,91.666667,56.833333,73.314815
50,30,10,4,1,163.84,0.2,40,1500,3.0,AOMDV,AODV,0.5115207928735495,0.55,0.6453197336793481,84.62963,58.935185,73.972222
50,30,10,4,2,163.84,0.2,40,1500,3.0,AOMDV,AODV,0.4530896511755797,0.5385847605336115,0.6985117694556398,93.777778,55.935185,77.564815
50,30,10,4,3,163.84,0.2,40,1500,3.0,DSDV,AODV,0.48100722153221426,0.55,0.49663358527895624,96.12037,55.907407,74.564815
50,30,10,4,4,163.84,0.2,40,1500,3.0,AOMDV,AODV,0.5320326062586079,0.5313763526686992,0.6111681344540119,96.527778,80.324074,86.416667
50,30,10,4,5,163.84,0.2,40,1500,3.0,AOMDV,AODV,0.569799311633319,0.3125674038174254,0.6722627762972079,89.157407,54.907407,71.824074
50,30,10,8,1,327.68,0.2,80,1500,3.0,DSDV,AODV,0.4656004163252651,0.55,0.44795619837386397,76.467593,53.939815,69.018519
50,30,10,8,2,327.68,0.2,80,1500,3.0,AOMDV,AODV,0.44999999999999996,0.5258089771603461,0.776929291675179,64.009259,51.384259,63.62963
50,30,10,8,3,327.68,0.2,80,1500,3.0,AODV,AODV,0.689917909874647,0.55,0.38318137211394754,71.231481,48.291667,62.513889
50,30,10,8,4,327.68,0.2,80,1500,3.0,AOMDV,AODV,0.5259379020362535,0.47434554056536704,0.6947734448057837,95.328704,79.152778,88.476852
50,30,10,8,5,327.68,0.2,80,1500,3.0,DSDV,AODV,0.44999999999999996,0.55,0.4818162117594321,73.416667,50.388889,66.875
50,30,15,2,1,122.88,0.3,30,1500,2.0,AOMDV,AODV,0.5050033485674754,0.55,0.6394835558658556,82.345679,53.098765,68.469136
50,30,15,2,2,122.88,0.3,30,1500,2.0,AODV,AODV,0.7269965469767536,0.1,0.6564351194630368,96.950617,61.938272,78.0
50,30,15,2,3,122.88,0.3,30,1500,2.0,AOMDV,AODV,0.5958224102802101,0.15405790327481952,0.6519434646777054,95.160494,56.728395,73.975309
50,30,15,2,4,122.88,0.3,30,1500,2.0,AOMDV,AODV,0.5106553387645327,0.5393254260256544,0.6819114699264215,93.283951,73.876543,84.54321
